transition,entered,left,n_entered,n_left
1999→2000,"brief, buttery, chaos, clarity, code, counterpoint, cultural, date, debutante, diverse, horizontal, individual, minded, necked, predominant, rare, spine, strand, uptown, vertical","austere, brave, closure, company, crinkly, cult, desire, dolman, experimental, jolt, notion, one, paper, revival, sack, smooth, speed, thinking, transition, worth",20,20
2000→2001,"collaboration, convincing, doubt, eastern, end, exceptional, felted, guard, inevitable, modest, page, pearl, pom, promising, purpose, reminiscent, responsible, sport, stride, supple","brief, buttery, chaos, clarity, code, counterpoint, cultural, date, debutante, diverse, horizontal, individual, minded, necked, predominant, rare, spine, strand, uptown, vertical",20,20
2001→2002,"alternative, antidote, apt, australian, closet, darling, dip, ensemble, exercise, flea, hooded, impeccable, individual, pleasing, precision, ride, shortage, streetwear, suitable, wispy","collaboration, convincing, doubt, eastern, end, exceptional, felted, guard, inevitable, modest, page, pearl, pom, promising, purpose, reminiscent, responsible, sport, stride, supple",20,20
2002→2003,"boyish, coup, discipline, doubt, elongated, harem, hunt, mainstay, mainstream, natty, pull, quest, rise, secret, sinuous, slender, smile, striking, substantial, wit","alternative, antidote, apt, australian, closet, darling, dip, ensemble, exercise, flea, hooded, impeccable, individual, pleasing, precision, ride, shortage, streetwear, suitable, wispy",20,20
2003→2004,"arty, association, bunch, campaign, cap, characteristic, corsage, mirror, monochromatic, musical, poor, prom, punky, relief, removable, trippy, uptown, venture, zigzag","boyish, coup, discipline, doubt, elongated, harem, hunt, mainstay, mainstream, pull, quest, rise, secret, sinuous, slender, smile, striking, substantial, wit",19,19
2004→2005,"accessible, austere, covetable, damask, experimental, flip, gift, gimmick, goth, insider, leopard, multi, nostalgic, paint, shoot, slash, smoking, sponsor, tabard, tutu","arty, association, bunch, campaign, cap, characteristic, corsage, mirror, monochromatic, musical, natty, poor, prom, punky, relief, removable, trippy, uptown, venture, zigzag",20,20
2005→2006,"album, anchor, colored, consistent, ditto, envelope, graceful, horizon, interview, luxurious, necessary, possibility, reinterpretation, sand, shopper, slogan, sol, swag, tomato, towel","accessible, austere, covetable, damask, experimental, flip, gift, gimmick, goth, insider, leopard, multi, nostalgic, paint, shoot, slash, smoking, sponsor, tabard, tutu",20,20
2006→2007,"buttery, cascade, cohesive, combo, comfortable, curvaceous, gloss, grouping, ideal, immediate, integral, lattice, prettiness, purpose, racerback, reflective, shadow, shag, slipdress, sliver","album, anchor, colored, consistent, ditto, envelope, graceful, horizon, interview, luxurious, necessary, possibility, reinterpretation, sand, shopper, slogan, sol, swag, tomato, towel",20,20
2007→2008,"apparent, artisan, brazilian, daring, duty, fancy, fatigue, folksy, gun, halterneck, karate, latin, mineral, phenomenon, singer, steam, studded, triangular, velour, worker","buttery, cascade, cohesive, combo, comfortable, curvaceous, gloss, grouping, ideal, immediate, integral, lattice, prettiness, purpose, racerback, reflective, shadow, shag, slipdress, sliver",20,20
2008→2009,"bar, beret, commentary, effective, emerald, flourish, fluidity, glad, grecian, horse, intelligent, poetic, racy, ride, sheen, slate, sponsor, stamp, task","apparent, artisan, brazilian, daring, duty, fancy, fatigue, folksy, gun, halterneck, karate, mineral, phenomenon, singer, steam, studded, triangular, velour, worker",19,19
2009→2010,"architecture, break, ceramic, delicious, delight, handwork, indigo, obi, pack, ply, raspberry, robe, sensitive, shirtwaist, soigné, steel, tomboy, treasure, ubiquitous","bar, beret, commentary, effective, emerald, flourish, fluidity, glad, grecian, horse, intelligent, poetic, racy, ride, sheen, slate, sponsor, stamp, task",19,19
2010→2011,"alligator, aware, basketball, cheerleader, dystopian, helm, manifesto, mature, mental, mundane, plum, premise, rustic, sequence, sidewalk, sober, subdued, suggestion, swag, war","architecture, break, ceramic, delicious, delight, handwork, indigo, latin, obi, pack, ply, raspberry, robe, sensitive, shirtwaist, soigné, steel, tomboy, treasure, ubiquitous",20,20
2011→2012,"bandage, billowy, childhood, clash, destination, dove, fishtail, forte, full, guard, inky, maillot, nighttime, opulence, salmon, sliver, stride, timely, translation, waistline","alligator, aware, basketball, cheerleader, dystopian, helm, manifesto, mature, mental, mundane, plum, premise, rustic, sequence, sidewalk, sober, subdued, suggestion, swag, war",20,20
2012→2013,"anchor, bent, chemise, disc, financial, folkloric, glance, glow, headgear, innocence, mode, newcomer, platinum, pouf, reaction, spider, static, towel, underwear, veil","bandage, billowy, childhood, clash, destination, dove, fishtail, forte, full, guard, inky, maillot, nighttime, opulence, salmon, sliver, stride, timely, translation, waistline",20,20
2013→2014,"bandeau, belgian, complaint, corporate, demure, dripping, economy, envelope, goddess, grace, origami, pistachio, promising, seductive, skimpy, slash, splash, status, stroke, transparency","anchor, bent, chemise, disc, financial, folkloric, glance, glow, headgear, innocence, mode, newcomer, platinum, pouf, reaction, spider, static, towel, underwear, veil",20,20
