review_id,topic_number
0,7
1,8
2,5
3,2
4,5
5,9
6,4
7,2
8,7
9,9
10,6
11,8
12,6
13,6
14,5
15,2
16,6
17,2
18,5
19,2
20,8
21,8
22,7
23,0
24,7
25,9
26,6
27,5
28,2
29,6
30,0
31,6
32,5
33,2
34,5
35,1
36,2
37,0
38,8
39,6
40,6
41,2
42,2
43,2
44,9
45,9
46,8
47,2
48,1
49,2
50,0
51,5
52,8
53,8
54,9
55,9
56,4
57,5
58,1
59,4
60,8
61,2
62,8
63,5
64,9
65,5
66,7
67,9
68,5
69,6
70,9
71,8
72,6
73,1
74,2
75,1
76,6
77,2
78,2
79,1
80,2
81,2
82,7
83,4
84,2
85,9
86,9
87,4
88,5
89,1
90,5
91,4
92,2
93,5
94,2
95,2
96,5
97,2
98,3
99,3
100,6
101,0
102,0
103,4
104,3
105,5
106,2
107,7
108,3
109,2
110,9
111,2
112,5
113,2
114,0
115,2
116,2
117,2
118,0
119,1
120,5
121,9
122,9
123,1
124,2
125,6
126,0
127,2
128,8
129,3
130,1
131,4
132,1
133,3
134,3
135,3
136,3
137,0
138,2
139,1
140,9
141,9
142,6
143,2
144,3
145,5
146,1
147,0
148,7
149,9
150,7
151,3
152,0
153,9
154,2
155,4
156,7
157,3
158,1
159,4
160,3
161,2
162,3
163,9
164,1
165,1
166,3
167,3
168,0
169,3
170,0
171,0
172,4
173,8
174,1
175,3
176,5
177,0
178,8
179,7
180,3
181,4
182,3
183,6
184,3
185,0
186,9
187,1
188,2
189,3
190,5
191,0
192,3
193,5
194,9
195,7
196,0
197,5
198,1
199,7
200,0
201,5
202,2
203,7
204,9
205,5
206,5
207,0
208,4
209,9
210,2
211,6
212,9
213,2
214,6
215,9
216,2
217,4
218,0
219,1
220,6
221,1
222,8
223,0
224,1
225,6
226,2
227,4
228,5
229,6
230,0
231,9
232,2
233,1
234,2
235,1
236,7
237,5
238,4
239,0
240,7
241,5
242,1
243,3
244,6
245,7
246,1
247,5
248,3
249,2
250,6
251,6
252,2
253,8
254,6
255,8
256,2
257,9
258,5
259,6
260,4
261,1
262,0
263,1
264,0
265,0
266,1
267,2
268,5
269,9
270,5
271,8
272,0
273,2
274,8
275,0
276,0
277,2
278,1
279,7
280,7
281,5
282,2
283,0
284,5
285,6
286,1
287,9
288,0
289,1
290,4
291,2
292,2
293,5
294,5
295,9
296,5
297,3
298,4
299,3
300,9
301,4
302,4
303,3
304,3
305,7
306,9
307,2
308,3
309,7
310,2
311,6
312,3
313,0
314,3
315,3
316,0
317,6
318,0
319,0
320,3
321,4
322,4
323,5
324,9
325,0
326,9
327,5
328,3
329,7
330,1
331,3
332,7
333,8
334,9
335,5
336,5
337,3
338,3
339,3
340,0
341,6
342,3
343,3
344,2
345,4
346,6
347,1
348,5
349,1
350,9
351,4
352,8
353,8
354,8
355,5
356,2
357,4
358,0
359,7
360,0
361,3
362,2
363,0
364,5
365,6
366,4
367,3
368,5
369,7
370,9
371,3
372,1
373,6
374,0
375,6
376,0
377,2
378,0
379,7
380,6
381,3
382,6
383,6
384,4
385,5
386,5
387,6
388,7
389,6
390,3
391,9
392,0
393,0
394,7
395,5
396,6
397,7
398,2
399,6
400,6
401,9
402,6
403,6
404,1
405,9
406,6
407,9
408,1
409,7
410,2
411,4
412,6
413,8
414,5
415,2
416,1
417,5
418,6
419,0
420,6
421,2
422,9
423,5
424,4
425,6
426,1
427,1
428,6
429,9
430,1
431,5
432,5
433,8
434,6
435,9
436,7
437,7
438,9
439,4
440,5
441,2
442,2
443,6
444,7
445,4
446,6
447,8
448,6
449,1
450,5
451,2
452,2
453,0
454,8
