year,topic_id,top_relevance_words,top_lift_words
1999,0,"jolt, closure, smooth, company, thinking, brave, cult, transition, experimental, paper, traditional, brilliant, pleated, simplicity, distressed","experimental, thinking, company, jolt, smooth, paper, closure, brave, transition, cult, austere, desire, one, worth, crinkly"
1999,1,"skirt, beaded, pant, gown, light, white, simple, leather, yellow, modern, jacket, feminine, cashmere, shade, silk","pleating, russian, insert, shine, desert, decorative, veil, patch, natural, team, familiar, flow, global, magic, optical"
1999,2,"accessory, print, bag, appropriate, acid, extravaganza, force, polka, studio, flash, dripping, available, affair, necked, necklace","available, necked, dripping, necklace, affair, shimmering, soundtrack, pleasure, jungle, doubt, bejeweled, platform, choker, diamant, typical"
1999,3,"super, stone, trainer, dream, vixen, dimension, movie, python, jumpsuit, sandal, flared, bathing, psychedelic, problem, outfits","vixen, trainer, stone, dream, super, dimension, sartorial, cabaret, psychedelic, waistcoat, festival, problem, singer, hippie, deluxe"
1999,4,"vein, tailoring, seaming, technique, rest, tailor, graduate, wing, human, tech, zip, cloud, mirror, attention, detailed","tailor, vein, human, wing, graduate, tech, rest, seaming, topstitching, cloud, mirror, detailed, butter, attention, tailoring"
1999,5,"entire, fantasy, whimsical, elaborate, grand, bodice, wire, architect, maximalist, generous, underpinning, grazing, craftsmanship, origami, ruffle","grazing, architect, origami, maximalist, underpinning, wire, generous, craftsmanship, entire, whimsical, grand, bodice, fantasy, inspection, rare"
1999,6,"summer, broderie, semi, knitwear, fiber, golden, market, single, flower, abundance, silver, restraint, dark, prairie, innocent","broderie, knitwear, golden, fiber, single, market, minor, innocent, restraint, dark, prairie, back, provocative, restrained, snap"
1999,7,"athletic, tracksuit, sporty, sportswear, nylon, sneaker, nautical, ponchos, retro, cross, resort, fan, sport, stripe, overall","athletic, tracksuit, sporty, resort, ponchos, sneaker, retro, nautical, cross, sportswear, nylon, personal, age, celebration, showroom"
1999,8,"chocolate, chiffon, handkerchief, swimsuit, category, toned, miniature, feel, hotel, caftan, brief, ribbon, salmon, distinctive, twinset","brief, distinctive, ribbon, hotel, miniature, category, caftan, toned, salmon, feel, swimsuit, minidresse, dramatic, rough, cut"
1999,9,"obvious, supple, slung, charmeuse, gear, glad, vintage, wood, wedge, heeled, low, luxury, nonsense, ultra, backdrop","charmeuse, supple, vintage, slung, wedge, gear, glad, obvious, wood, muted, grey, backdrop, minor, restraint, innocent"
2000,0,"shirt, trouser, leather, skirt, talent, blazer, belt, white, short, suede, tough, moment, jacket, perfect, diverse","chaos, rare, strand, individual, counterpoint, necked, debutante, code, uptown, brief, predominant, spine, vertical, horizontal, date"
2000,1,"skirt, coat, suit, cashmere, classic, beaded, gown, jacket, sophisticated, tweed, leather, sexy, series, simple, sequined","gauzy, seductive, situation, ticket, marble, cocoon, career, chinese, return, flattering, advantage, broadtail, varied, bunch, accomplished"
2000,2,"print, complete, bunny, disco, neon, fun, leopard, jacket, jean, outrageous, bird, colorful, leather, camouflage, bathing","fishnet, vice, door, bottle, worth, nylon, expensive, provocative, bra, tutu, cat, pendant, sock, presence, strappy"
2000,3,"fur, coat, satin, jacket, luxury, tweed, chiffon, sweater, leather, blouse, skinny, cool, ostrich, skirt, boot","quintessential, travel, hallmark, python, twinset, eighty, sixty, seventy, limit, cutaway, book, messy, rebellious, trio, midi"
2000,4,"talented, technique, commitment, classy, intricate, structure, stitching, curvaceous, skirtsuit, convincing, human, tailor, duo, white, place","commitment, technique, intricate, stitching, human, convincing, skirtsuit, curvaceous, classy, structure, talented, bubblegum, mirror, plain, bare"
2000,5,"chair, stage, room, screen, wooden, table, object, insider, strange, nomad, outer, cover, magic, miniature, puzzle","insider, nomad, room, wooden, object, screen, strange, chair, table, pad, moth, mental, cell, puzzle, shocking"
2000,6,"illusion, frothy, enthusiastic, applause, transition, innovative, end, ultra, crystal, skill, kilter, water, wire, single, gauge","frothy, transition, illusion, enthusiastic, applause, wire, kilter, water, graceful, gauge, swing, bib, knife, fetish, rubber"
2000,7,"brother, mom, bright, rise, debt, riot, victorian, eccentricity, club, random, circus, medium, childhood, box, wheel","club, victorian, rise, riot, random, eccentricity, debt, gun, pressure, experimental, brother, zone, sport, treasure, cozy"
2000,8,"tennis, pastel, giddy, design, hip, exception, blue, garden, lime, equal, blast, twill, revival, teenage, profile","tennis, blast, equal, twill, teenage, grass, taupe, flagship, damask, swirl, collarless, indication, innovation, difficult, balance"
2000,9,"vibrant, platinum, low, launch, linen, skirt, slung, angora, devoted, neck, possible, sweater, mohair, variety, jacket","launch, subtlety, showroom, eighteenth, fragile, experimentation, tail, function, marriage, coin, path, parachute, shop, flea, bare"
2001,0,"leather, jacket, skirt, trouser, coat, white, blazer, short, boot, sharp, pleated, shirt, belt, button, suit","exceptional, supple, reminiscent, pearl, convincing, page, responsible, end, promising, purpose, guard, felted, modest, eastern, inevitable"
2001,1,"gown, skirt, legacy, masculine, plaid, string, simple, backless, sparkle, shock, beaded, twill, program, jacket, shirt","shock, backless, sparkle, piqué, run, elbow, sister, legacy, string, center, maker, glorious, innocence, quintessential, commitment"
2001,2,"hot, pink, floppy, ring, salon, cha, hoop, tip, iridescent, bangle, height, hat, net, mesh, print","tip, bangle, height, hoop, iridescent, floppy, mesh, ring, salon, potential, pure, gal, nail, trade, zone"
2001,3,"coat, leather, fur, couple, jacket, skirt, allure, option, shame, cashmere, plush, satin, sweater, key, white","bust, singer, sable, talk, dose, odd, insider, allure, spanish, pirate, weave, multicolor, layering, innovative, card"
2001,4,"industry, tech, determined, jewelry, sinuous, intention, taste, body, magazine, beauty, brazilian, term, opportunity, heady, white","intention, sinuous, taste, opportunity, beauty, brazilian, term, heady, intelligent, pristine, technical, industry, determined, magazine, beat"
2001,5,"embroidery, elaborate, georgette, beautiful, jacket, appliqu, performance, brocade, ruffle, lace, skirt, tradition, audience, game, bead","sleeved, romance, grit, size, association, dusty, sheen, partner, tension, brass, war, hostess, legend, coral, shocking"
2001,6,"intricate, painting, macram, greek, creamy, craft, ceramic, ancient, mediterranean, pleating, sensual, international, wispy, airy, sailor","ancient, mediterranean, craft, greek, creamy, ceramic, painting, intricate, heritage, believable, tableau, neat, compliment, zebra, commentary"
2001,7,"boy, teenage, curvy, club, cheeky, junior, rainbow, legging, neon, space, butterfly, leap, rule, energetic, wedge","teenage, club, cheeky, curvy, energetic, debutante, leap, rule, wedge, wrong, resort, ombré, certain, kitten, one"
2001,8,"blouse, generous, giddy, account, stellar, party, frilled, opulent, space, experiment, fourth, skirt, wrist, grosgrain, midriff","stellar, account, opulent, frilled, grosgrain, wrist, answer, midriff, fit, grand, check, prom, distinct, epaulet, native"
2001,9,"slung, skirt, low, bag, jacket, camisole, street, sandal, tote, minded, fringed, verve, hip, extra, smock","equation, reaction, wallpaper, boho, filmy, disc, unstructured, revival, grunge, calf, thigh, drape, campaign, dream, minded"
