chunk_id,chunk_start,chunk_end,topic_id,cosine_sim,top_words_phi,top_words_rel
1,2004-01-18,2004-10-10,0,0.8285,"jacket, skirt, coat, spring, white, silk, leather, shirt, fur, print, pant, suit, fall, great, chiffon","jacket, skirt, uptown, spring, coat, ninety, handed, leather, case, silk, shirt, white, punky, musical, relief"
1,2004-01-18,2004-10-10,1,0.8606,"skirt, jacket, coat, white, spring, gown, silk, print, tweed, pant, lace, suit, shirt, modern, fall","skirt, jacket, client, coat, white, gown, tweed, modern, lace, sleeveless, sophisticated, dressy, smoking, strapless, classic"
1,2004-01-18,2004-10-10,2,0.8248,"skirt, jacket, print, chiffon, coat, silk, great, white, spring, leather, high, fur, suit, fall, blue","party, print, jean, chiffon, fun, clingy, sugar, ambition, fruit, necklace, accessory, purse, lamé, great, pool"
1,2004-01-18,2004-10-10,3,0.9018,"coat, jacket, skirt, fur, fall, high, leather, sweater, pant, satin, chiffon, white, silk, gown, tweed","fur, coat, fall, jacket, high, sweater, leather, camel, skirt, collar, flannel, shearling, winter, satin, neat"
1,2004-01-18,2004-10-10,4,0.8678,"skirt, jacket, coat, white, spring, pant, print, leather, short, high, shirt, talent, suit, fall, silk","knot, rope, talent, skirt, greek, white, compelling, relationship, pant, plain, portion, jacket, installation, heavy, body"
1,2004-01-18,2004-10-10,5,0.8717,"skirt, jacket, coat, gown, print, audience, fall, spring, short, fur, silk, suit, chiffon, young, white","skirt, venue, answer, jacket, dancer, audience, tree, couple, turn, event, insert, evident, eighteenth, century, presentation"
1,2004-01-18,2004-10-10,6,0.8918,"jacket, skirt, coat, white, suit, short, chiffon, print, satin, gown, spring, leather, silk, lace, fur","suit, jacket, satin, short, shoulder, skirt, white, ribbon, history, surreal, lace, lineup, chiffon, extra, crystal"
1,2004-01-18,2004-10-10,7,0.8489,"jacket, print, skirt, coat, white, spring, short, fall, shirt, pant, blue, cotton, fur, cardigan, young","tennis, husband, teen, zippy, playsuit, silly, lunch, intention, team, hued, nostalgia, highlight, print, sunny, rainbow"
1,2004-01-18,2004-10-10,8,0.8964,"skirt, jacket, spring, coat, white, silk, chiffon, trouser, shirt, fall, blue, print, gown, lace, tweed","skirt, spring, trouser, mainstay, combination, pencil, tradition, blouse, socialite, blue, jacket, silky, silk, crisp, shirt"
1,2004-01-18,2004-10-10,9,0.8896,"jacket, skirt, coat, spring, silk, pant, white, chiffon, cotton, short, print, trouser, fall, leather, tweed","jacket, skirt, wheel, pant, silk, average, cotton, spring, trouser, foil, pair, soft, calf, safari, toile"
2,2005-02-03,2005-10-09,0,0.8755,"skirt, coat, jacket, spring, white, print, silk, short, leather, chiffon, waist, sleeve, fall, pant, gown","coat, skirt, spring, jacket, pantsuit, shirtdress, sleeve, goth, bow, interest, waist, white, leather, pleat, flip"
2,2005-02-03,2005-10-09,1,0.862,"skirt, gown, coat, jacket, silk, chiffon, white, spring, print, fall, lace, short, leather, pant, shirt","skirt, gown, simple, silk, chiffon, neck, strapless, edge, client, shirt, column, basket, floor, spring, coat"
2,2005-02-03,2005-10-09,2,0.8613,"skirt, jacket, print, coat, white, gown, fall, silk, short, spring, chiffon, great, pant, leather, lace","print, hour, skirt, denim, period, jacket, sound, party, spectacle, chain, tradition, siren, glamour, location, accessory"
2,2005-02-03,2005-10-09,3,0.8905,"coat, jacket, skirt, fall, fur, pant, leather, white, velvet, gown, high, chiffon, print, boot, bag","fur, coat, jacket, fall, velvet, boot, leather, pant, deal, extraordinary, mannequin, crocodile, breast, mongolian, bag"
2,2005-02-03,2005-10-09,4,0.8596,"skirt, jacket, coat, white, short, young, leather, pant, silk, spring, print, shoulder, high, lace, chiffon","sample, certain, white, jacket, factory, church, skirt, talent, young, copper, shoulder, backstage, conceptual, hard, coat"
2,2005-02-03,2005-10-09,5,0.8592,"skirt, jacket, coat, white, print, gown, lace, spring, chiffon, young, pant, audience, silk, short, cotton","organza, skirt, jacket, lace, print, coat, gown, white, artist, century, possible, tent, lip, tulle, romantic"
