topic_id,rank,doc_id,year,theta_dominant,snippet
0,1,3057,2009,0.9785714285714286,"I always have a lot of references, Mulberry creative director Emma Hill said backstage after round two of the label's four mini-shows. For Spring, her list included abandoned fairgrounds, Sofia Coppola's The Virgin Suicides , refracted light, and Tim Walker photographs. Hill set her scene just right with a runway that wound around a spooky-sweet circle of carousel horses, with the soundtrack of Ai"
0,2,3642,2010,0.9780487804878047,"Get this: Diesel had a runway show and not a single blue jean was included. ""We have a lot of blue denim in Diesel, so it's not necessary to go down this way everybody knows we have this,"" Sophia Kokosalaki, Diesel Black Gold 's creative director, explained backstage. That's a bold move, but one that made for a compelling show. Kokosalaki subbed dark, dusty colors for the indigo blues, and, for th"
0,3,5148,2012,0.9756756756756756,"New York is out and Milan is in for Ports. This runway show was a homecoming of sorts for Fiona Cibani; the company is headquartered here. Apropos of that, she began the collection with the proverbial clean slate: a group of bracing all-white looks that combined streamlined, almost masculine leather pieces like tees and dresses with diaphanous layers of pleated silk and lace. Shapes were away from"
0,4,3189,2009,0.975,"Ferragamo announced this summer that it would be replacing designer Cristina Ortiz with Massimiliano Giornetti, who currently heads up the company's menswear. Before her departure, though, Ortiz had the no-doubt difficult task of completing a Spring collection. She smartly decided to stick to the more covered-up, sophisticated path she established last season, and while this show wasn't as strong,"
0,5,5739,2013,0.9579710144927536,"There was nothing on the invitation that revealed this would be a video show comprised of six large screens, each capturing a different angle of the collection. Nicolas Andreas Taralis recruited Mote Sinabel Aoki to direct a five-minute film in which one male and one female model emerged, exited, and reemerged into a white realm where the depth of field seemed infinite. Compositionally, the video "
0,6,5808,2013,0.9547619047619048,"Sister-and-brother design team Nicholas and Christopher Kunz grew up in Tucson, Arizona, near an Apache reservation where they spent time as children, fishing and just being outdoors. Christopher still visits two or three times each year, and this Spring shamanism is a main source of inspiration for the duo. ""We started with a smudging fan, which is used by the shaman to ward off evil sprits,"" Nic"
0,7,5126,2012,0.9525,"This season's St. John presentation couldn't have been more different than last winter's runway show, where handlers hustled Kate Winslet, in a second-skin leather shift, into her front-row perch a few seconds before the show began. This time the looks were on mannequins at the brand's properly corporate corporate headquarters, just around the corner from its Fifth Avenue boutique. Senior VP of De"
0,8,3723,2010,0.9344827586206896,"There were times today at Georgina Chapman and Keren Craig's  Marchesa presentation when you couldn't breathe. And it had nothing to do with the crush of onlookers, camera crews, celebrity journalists, or the mini-posses of handlers for Jessica Szohr, Kelly Osbourne, and Gabourey Sidibe. Or, quite frankly, even with the baying pack of paparazzi laid in wait for them outside the Chelsea Art Museum."
0,9,6180,2014,0.9338983050847458,"Profligacy has never been Giorgio Armani 's calling card, but today he took rigorous discipline to an extreme with a collection based almost entirely on gray flannel. On paper, it scarcely sounded like the most promising proposition. Is there any fabric more dully corporate? So how on earth did Armani alchemize flannel into clothes of such serenity and grace? First, he pushed wool to the limit, of"
0,10,5610,2013,0.9327586206896552,"It's quite unusual to stumble onto a designer like Myrza de Muynck these days. For one thing, the Dutch up-and-comer, who is based in East London, has a genuinely artisanal sensibility; her clothes are all handworked with surreal embroideries that she applies herself. They are calculated to look naive. De Muynck also stands out for her take on the feminine; although she incorporates elements such "
