topic_id,top_words_lambda04,top_words_raw
0,"blazer, white, masculine, leather, skirt, trouser, pleated, jacket, shirt, couple, waist, sleeve, green, sharp, strong","skirt, jacket, leather, white, short, trouser, coat, shirt, pant, print, sleeve, silk, waist, suit, pleated"
1,"gown, carpet, simple, silk, skirt, column, cocktail, number, beaded, neckline, strapless, beading, white, client, elegant","skirt, gown, silk, white, jacket, coat, print, leather, simple, number, lace, sleeve, cocktail, pant, wool"
2,"print, denim, jean, shirt, hot, leopard, disco, lineup, sweatshirt, short, pant, leather, jacket, beaded, suit","print, jacket, leather, skirt, shirt, pant, white, short, silk, suit, denim, high, coat, floral, blue"
3,"fur, coat, shearling, leather, mink, jacket, tweed, fall, luxury, sweater, wool, outerwear, boot, cashmere, camel","coat, jacket, leather, fur, skirt, sweater, pant, fall, wool, high, tweed, boot, collar, silk, shoulder"
4,"body, work, complex, talent, asymmetric, material, beige, belgian, leather, high, greek, shoulder, technical, art, conceptual","leather, jacket, white, body, skirt, coat, high, print, work, shoulder, pant, shirt, material, short, fact"
5,"performance, cultural, extravagant, giant, pure, stage, ruffle, cloud, dancer, century, culture, life, primal, catwalk, eyed","skirt, print, jacket, coat, white, short, gown, young, suit, presentation, lace, signature, work, leather, pink"
6,"lingerie, chiffon, satin, lace, goddess, ribbon, sailor, fifty, short, crystal, thigh, gown, jacket, frill, corset","jacket, skirt, print, lace, chiffon, short, silk, white, satin, gown, coat, shoulder, pant, leather, suit"
7,"jean, nylon, sporty, japanese, bright, fun, young, legging, baseball, denim, stripe, teen, sport, print, pair","print, jacket, pant, leather, skirt, white, high, short, big, shirt, young, coat, pair, bright, jean"
8,"print, skirt, blue, spring, pretty, floral, sweet, chiffon, white, creamy, blouse, sweater, hue, socialite, mien","print, skirt, white, short, coat, blue, chiffon, silk, jacket, sweater, spring, floral, blouse, lace, trouser"
9,"jacket, pant, silk, eclectic, wool, button, supple, low, cotton, skirt, linen, slung, loose, belt, slipdresse","jacket, skirt, pant, silk, coat, print, leather, wool, white, trouser, cotton, short, hand, belt, suit"
