Label,MR_nested,Agency_nested
Design & Ornamentation,Outlining,Designer/Collection:Craft
Desire & Affinity,Evaluating,Critic:Stance
Rejection & Departure,Highlighting,Designer/Collection:Contextual Positioning
Being & Presentation,Outlining,Ambiguous
Visual Effect,Outlining,Designer/Collection:Appearance & Movement
Allusion,Introducing,Critic:Observation
Evocation,Highlighting,Designer/Collection:Contextual Positioning
Generic Action,Outlining,Ambiguous
Spatial Placement,Outlining,Designer/Collection:Appearance & Movement
Continuation & Development,Introducing,Critic:Stance
Placement,Outlining,Designer/Collection:Appearance & Movement
Reinterpretation,Highlighting,Designer/Collection:Contextual Positioning
Resistance,Evaluating,Critic:Stance
Initiation,Highlighting,Designer/Collection:Contextual Positioning
Direction & Showcase,Evaluating,Critic:Stance
Cognition,Introducing,Critic:Observation
Tailoring,Outlining,Designer/Collection:Craft
Fluid Motion,Outlining,Designer/Collection:Appearance & Movement
Construction & Composition,Outlining,Designer/Collection:Craft
Garment & Styling,Outlining,Designer/Collection:Craft
Competition,Evaluating,Critic:Stance
Perception,Outlining,Critic:Observation
Refinement,Outlining,Designer/Collection:Craft
Ornamentation,Outlining,Designer/Collection:Craft
Traversal Motion,Outlining,Designer/Collection:Appearance & Movement
Sonic Metaphors,Introducing,Designer/Collection:Contextual Positioning
Transformation,Highlighting,Designer/Collection:Contextual Positioning
Combination,Outlining,Designer/Collection:Craft
Runway Motion,Outlining,Designer/Collection:Appearance & Movement
Naming & Noting,Introducing,Critic:Observation
