Top verbs,Label,Motta-Roth,Motta-Roth subtype,Agency,Group
"design, draw, layer, decorate, print, embroider, accessorize, paint, display, render",Design & Ornamentation,Outlining,,Designer/Collection,Craft
"love, like, embrace, lay, touch, marry, seek, attract, crave, hug",Desire & Affinity,Highlighting,Evaluative,Critic,Stance
"leave, throw, abandon, explode, fade, escape, disappear, kill, shed, ditch",Rejection & Departure,Highlighting,Transformative,Designer/Collection,Contextual Positioning
"be, show, inspire, prove, provide, talk, expect, let, reflect, speak",Being & Presentation,Outlining,,Ambiguous,
"pop, snap, flare, peek, shine, flash, fuse, blossom, glow, spark",Visual Effect,Outlining,,Designer/Collection,Appearance & Movement
"miss, define, nod, found, lighten, hew, hark, wove, liven, hail",Allusion,Introducing,,Critic,Observation
"emerge, evoke, emphasize, rise, conjure, evolve, embellish, inject, elevate, embody",Evocation,Highlighting,Transformative,Designer/Collection,Contextual Positioning
"have, take, want, get, give, use, put, open, add, call",Generic Action,Outlining,,Ambiguous,
"move, sit, cover, represent, debut, march, land, place, visit, parade",Spatial Placement,Outlining,,Designer/Collection,Appearance & Movement
"work, keep, continue, produce, manage, live, focus, remain, grow, develop",Continuation & Development,Introducing,,Critic,Stance
"turn, stand, fall, push, stick, break, hang, shape, float, range",Placement,Outlining,,Designer/Collection,Appearance & Movement
"return, recall, replace, revisit, reappear, repeat, reinterpret, reprise, rework, re",Reinterpretation,Highlighting,Transformative,Designer/Collection,Contextual Positioning
"appeal, avoid, resist, distract, deny, detract, hide, ignore, refuse, eschew",Resistance,Highlighting,Evaluative,Critic,Stance
"come, go, include, start, become, appear, bring, begin, suggest, create",Initiation,Highlighting,Transformative,Designer/Collection,Contextual Positioning
"build, launch, lead, capture, top, aim, base, express, showcase, model",Direction & Showcase,Highlighting,Evaluative,Critic,Stance
"say, do, know, explain, think, mean, end, try, happen, imagine",Cognition,Introducing,,Critic,Observation
"cut, wrap, line, tuck, edge, tap, trim, head, whip, nail",Tailoring,Outlining,,Designer/Collection,Craft
"fill, flow, wash, destine, filter, spill, delve, pour, wind, dispense",Fluid Motion,Outlining,,Designer/Collection,Appearance & Movement
"make, translate, construct, underscore, yield, spell, precede, complement, juxtapose, derive",Construction & Composition,Outlining,,Designer/Collection,Craft
"wear, dress, drape, style, knit, weave, suit, sew, tailor, lace",Garment & Styling,Outlining,,Designer/Collection,Craft
"play, strike, lose, win, match, kick, sport, settle, dominate, toss",Competition,Highlighting,Evaluative,Critic,Stance
"look, seem, feel, see, find, describe, read, tell, decide, ask",Perception,Outlining,,Critic,Observation
"veer, patchworke, hone, ampe, soundtracke, imbue, vie, tout, devise, evince",Refinement,Outlining,,Designer/Collection,Craft
"mark, catch, bear, dub, stray, toy, stud, garner, meld, billow",Ornamentation,Outlining,,Designer/Collection,Craft
"walk, run, explore, step, reach, fly, slip, drive, trail, travel",Traversal Motion,Outlining,,Designer/Collection,Appearance & Movement
"sound, echo, hear, riff, sing, scream, resonate, listen, accent, pronounce",Sonic Metaphors,Introducing,,Designer/Collection,Contextual Positioning
"change, extend, transform, expand, soften, morph, refine, scale, tweak, sharpen",Transformation,Highlighting,Transformative,Designer/Collection,Contextual Positioning
"mix, combine, gather, separate, pack, merge, zip, divide, split, pile",Combination,Outlining,,Designer/Collection,Craft
"stag, crop, sweep, strut, stomp, dig, pluck, finesse, scoop, skim",Runway Motion,Outlining,,Designer/Collection,Appearance & Movement
"feature, present, reveal, reference, lack, form, name, notice, note, hint",Naming & Noting,Introducing,,Critic,Observation
